user_id,username,country,total_songs,total_listening_time_sec
u023,reggae_rhythm,MX,5,893
u005,rhythmrider,AR,5,1005
u001,anagalaxy,MX,6,1126
u016,rock_rebel,MX,6,1370
u012,audio_alchemy,AR,6,1194
u009,melody_maker,MX,6,1198
u006,dj_echo,ES,5,1003
u017,jazz_cat,US,5,866
u020,metal_maniac,ES,5,1138
u002,beats4life,US,5,1034
u013,static_noise,ES,5,1121
u024,hiphop_hero,US,5,911
u018,classical_calm,CO,6,1201
u003,soundwave,MX,6,1355
u021,electro_swing,BR,6,1248
u025,techno_titan,DE,6,1044
u014,dubstep_demon,BR,6,1155
u010,vinyl_junkie,US,5,929
u007,synthwave_soul,BR,6,981
u015,pop_princess,CL,5,869
u019,folk_fanatic,AR,6,1208
u004,musiclover,CO,6,1236
u022,ambient_aura,CL,6,1169
u011,groove_master,CO,6,1056
u008,bass_head,CL,5,1165
